"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4865","Registration page testDavid","Edge","2025-12-25","passed","2025-12-25","","Register.spec.ts","",""
"","4610","Registration page testDavid","Google Chrome","2025-12-25","passed","2025-12-25","","Register.spec.ts","",""
"","4615","Registration page testJane","Google Chrome","2025-12-25","passed","2025-12-25","","Register.spec.ts","",""
"","4728","Registration page testMichael","Google Chrome","2025-12-25","passed","2025-12-25","","Register.spec.ts","",""
"","4854","Registration page testSarah","Edge","2025-12-25","passed","2025-12-25","","Register.spec.ts","",""
"","5139","Registration page testJohn","Google Chrome","2025-12-25","passed","2025-12-25","","Register.spec.ts","",""
"","5108","Registration page testMichael","Edge","2025-12-25","passed","2025-12-25","","Register.spec.ts","",""
"","5087","Registration page testJohn","Edge","2025-12-25","passed","2025-12-25","","Register.spec.ts","",""
"","4799","Registration page testSarah","Google Chrome","2025-12-25","passed","2025-12-25","","Register.spec.ts","",""
"","5047","Registration page testJane","Edge","2025-12-25","passed","2025-12-25","","Register.spec.ts","",""
